,team,opp,team_town,opp_town
1, Abilene Christian, Abilene Christian,"Abilene, TX","Abilene, TX"
2, Air Force, Air Force,"Colorado Springs, CO","Colorado Springs, CO"
3, Akron, Akron,"Akron, OH","Akron, OH"
4, Alabama, Alabama,"Tuscaloosa, AL","Tuscaloosa, AL"
5, Alabama A&M, Alabama A&M,"Normal, AL","Normal, AL"
6, Alabama State, Alabama State,"Montgomery, AL","Montgomery, AL"
7, Albany (NY), Albany (NY),"Albany, NY","Albany, NY"
8, Alcorn State, Alcorn State,"Lorman, MS","Lorman, MS"
9, American, American,"Washington, DC","Washington, DC"
10, Appalachian State, Appalachian State,"Boone, NC","Boone, NC"
11, Arizona, Arizona,"Tucson, AZ","Tucson, AZ"
12, Arizona State, Arizona State,"Tempe, AZ","Tempe, AZ"
13, Arkansas, Arkansas,"Fayetteville, AR","Fayetteville, AR"
14, Arkansas State, Arkansas State,"Jonesboro, AR","Jonesboro, AR"
15, Arkansas-Pine Bluff, Arkansas-Pine Bluff,"Pine Bluff, AR","Pine Bluff, AR"
16, Auburn, Auburn,"Auburn, AL","Auburn, AL"
17, Austin Peay, Austin Peay,"Clarksville, TN","Clarksville, TN"
18, Ball State, Ball State,"Muncie, IN","Muncie, IN"
19, Baylor, Baylor,"Waco, TX","Waco, TX"
20, Belmont, Belmont,"Nashville, TN","Nashville, TN"
21, Binghamton, Binghamton,"Vestal, NY","Vestal, NY"
22, Boise State, Boise State,"Boise, ID","Boise, ID"
23, Boston College, Boston College,"Chestnut Hill, MA","Chestnut Hill, MA"
24, Boston University, Boston University,"Boston, MA","Boston, MA"
25, Bradley, Bradley,"Peoria, IL","Peoria, IL"
26, Brown, Brown,"Providence, RI","Providence, RI"
27, Bryant, Bryant,"Smithfield, RI","Smithfield, RI"
28, Bucknell, Bucknell,"Lewisburg, PA","Lewisburg, PA"
29, Buffalo, Buffalo,"Buffalo, NY","Buffalo, NY"
30, Butler, Butler,"Indianapolis, IN","Indianapolis, IN"
31, BYU, BYU,"Provo, UT","Provo, UT"
32, Cal Poly, Cal Poly,"San Luis Obispo, CA","San Luis Obispo, CA"
33, Cal State Bakersfield, Cal State Bakersfield,"Bakersfield, CA","Bakersfield, CA"
34, Cal State Fullerton, Cal State Fullerton,"Fullerton, CA","Fullerton, CA"
35, Cal State Northridge, Cal State Northridge,"Northridge, CA","Northridge, CA"
36, California, California,"Berkely, CA","Berkely, CA"
37, Campbell, Campbell,"Buies Creek, NC","Buies Creek, NC"
38, Canisius, Canisius,"Buffalo, NY","Buffalo, NY"
39, Central Connecticut, Central Connecticut,"New Britain, CT","New Britain, CT"
40, Central Michigan, Central Michigan,"Mount Pleasant, MI","Mount Pleasant, MI"
41, Charleston Southern, Charleston Southern,"Charleston, SC","Charleston, SC"
